Search,Add,Remove
1602,608,123
847,86,181
781,72,61
653,87,462
966,97,86
805,185,71
717,88,65
689,103,85
726,70,71
791,76,75
745,78,82
737,70,85
814,91,72
864,77,73
831,71,82
852,77,68
932,74,73
829,74,83
871,76,67
841,82,85
